Date,Adj Close,Close,High,Low,Open,Volume,ticker,daily_return,ma_5,ma_10,momentum_14,volume_zscore_20,label
2015-03-09,62.936500549316406,67.8550033569336,68.05249786376953,67.2699966430664,67.62999725341797,8902000,V,0.007722763556706536,63.25370483398437,63.367100143432616,0.12753677368164062,0.1037556774259793,SELL
2015-03-10,61.49422073364258,66.30000305175781,67.46499633789062,66.30000305175781,67.41000366210938,11125600,V,-0.02291642851263509,62.78531265258789,63.19852561950684,-0.9089622497558594,1.0741174225019596,BUY
2015-03-11,61.389862060546875,66.1875,66.84500122070312,65.76249694824219,66.40750122070312,12105200,V,-0.0016970484681434472,62.367933654785155,63.006989288330075,-1.0086631774902344,1.3941196679847254,HOLD
2015-03-12,62.50984191894531,67.3949966430664,67.5,66.57499694824219,66.5999984741211,9530800,V,0.018243726582963138,62.15692138671875,62.91029777526855,-0.7930068969726562,0.22582824724470865,HOLD
2015-03-13,61.45478057861328,66.25749969482422,67.20999908447266,66.125,67.20999908447266,12578800,V,-0.016878323603827017,61.95704116821289,62.764674758911134,-1.8504447937011719,1.5214798339035032,HOLD
2015-03-16,62.37999725341797,67.25499725341797,67.51249694824219,66.65750122070312,66.72250366210938,9849600,V,0.015055243320267753,61.845740509033206,62.54972267150879,-0.7999687194824219,0.3072715632281809,HOLD
2015-03-17,61.3319091796875,66.125,67.08999633789062,66.03500366210938,67.01499938964844,14290800,V,-0.016801669122757823,61.81327819824219,62.29929542541504,-1.9733161926269531,1.9053836849526407,BUY
2015-03-18,62.066951751708984,66.9175033569336,66.99500274658203,64.75250244140625,66.02249908447266,50658000,V,0.011984668043970137,61.94869613647461,62.158314895629886,-1.4098052978515625,4.110017350374668,HOLD
2015-03-19,61.96725082397461,66.80999755859375,67.19000244140625,65.75,66.83000183105469,15407500,V,-0.0016063448408617509,61.84017791748047,61.99854965209961,-0.9437599182128906,0.33995075534462704,HOLD
2015-03-20,62.52376937866211,67.41000366210938,67.69999694824219,66.77999877929688,67.25,15372000,V,0.008980849517890688,62.053975677490236,62.00550842285156,-2.005748748779297,0.30263540308612097,HOLD
2015-03-23,62.217681884765625,67.08000183105469,68.20999908447266,67.06999969482422,68.02999877929688,8128000,V,-0.004895538079969675,62.02151260375977,61.93362655639648,-1.618499755859375,-0.4790139020188481,SELL
2015-03-24,62.2362060546875,67.0999984741211,67.69000244140625,66.83999633789062,67.0999984741211,6534800,V,0.00029773159913260017,62.202371978759764,62.00782508850098,-1.2405509948730469,-0.6315412742918977,SELL
2015-03-25,60.96553039550781,65.7300033569336,67.43000030517578,65.7300033569336,67.0999984741211,13054300,V,-0.02041698457748431,61.98208770751953,61.96539192199707,-2.5993728637695312,0.02841146961641797,HOLD
2015-03-26,60.83567810058594,65.58999633789062,66.30000305175781,65.0199966430664,65.25,9487200,V,-0.002129929717325063,61.7557731628418,61.79797554016113,-1.6185035705566406,-0.33210311661330427,HOLD
2015-03-27,60.78931427001953,65.54000091552734,65.80999755859375,65.1500015258789,65.5199966430664,6521100,V,-0.0007621157849140303,61.40888214111328,61.731428909301755,-2.147186279296875,-0.638807681516443,HOLD
2015-03-30,60.90060043334961,65.66000366210938,66.31999969482422,65.5,66.0199966430664,11237100,V,0.0018306862754817743,61.14546585083008,61.58348922729492,-0.5936203002929688,-0.13425245966893534,HOLD
2015-03-31,60.66873550415039,65.41000366210938,66.20999908447266,65.38999938964844,65.47000122070312,7400500,V,-0.0038072683610562708,60.83197174072266,61.51717185974121,-0.7211265563964844,-0.5333437476487903,HOLD
2015-04-01,60.455406188964844,65.18000030517578,65.5199966430664,64.44999694824219,65.44999694824219,7633000,V,-0.0035162973715012757,60.72994689941406,61.3560173034668,-2.0544357299804688,-0.5060834629774292,HOLD
2015-04-02,60.557411193847656,65.29000091552734,65.62000274658203,64.80999755859375,64.98999786376953,5083000,V,0.0016872768096864998,60.674293518066406,61.2150333404541,-0.897369384765625,-0.7626265010939411,HOLD
2015-04-06,60.473934173583984,65.19999694824219,65.63999938964844,64.41000366210938,64.7300033569336,8351200,V,-0.0013784773592195876,60.6112174987793,61.01004981994629,-1.9060630798339844,-0.3996691789834799,BUY
2015-04-07,61.03045654296875,65.80000305175781,66.19000244140625,65.30999755859375,65.37999725341797,6660800,V,0.009202681733708973,60.63718872070312,60.8913272857666,-0.30145263671875,-0.5620352707435323,HOLD
2015-04-08,61.679710388183594,66.5,66.83999633789062,65.80000305175781,65.88999938964844,6604200,V,0.010638194140948798,60.83938369750977,60.83567771911621,-0.3872413635253906,-0.5400856502628473,HOLD
2015-04-09,61.62405014038086,66.44000244140625,66.81999969482422,65.76000213623047,66.56999969482422,5408500,V,-0.0009024077359058857,61.07311248779297,60.901529693603514,-0.34320068359375,-0.6223785565621341,SELL
2015-04-10,61.531307220458984,66.33999633789062,66.69000244140625,65.93000030517578,66.69000244140625,4628500,V,-0.001504979301272913,61.26789169311523,60.97109260559082,-0.992462158203125,-0.6694101598354008,SELL
2015-04-13,60.854225158691406,65.61000061035156,66.80000305175781,65.51000213623047,66.22000122070312,5059800,V,-0.011003862787144714,61.34394989013672,60.977583694458005,-1.3634567260742188,-0.5824758409804401,HOLD
2015-04-14,60.780029296875,65.52999877929688,65.94000244140625,64.87999725341797,65.5199966430664,5621800,V,-0.001219239282447937,61.29386444091797,60.96552658081055,-1.4561767578125,-0.5015374399159227,HOLD
2015-04-15,60.91914749145508,65.68000030517578,65.91000366210938,65.30000305175781,65.5999984741211,5347100,V,0.0022888800184772684,61.14175186157227,60.99056777954102,-0.046382904052734375,-0.4829730538416628,SELL
2015-04-16,60.89134216308594,65.6500015258789,66.01000213623047,65.3499984741211,65.52999877929688,4121300,V,-0.00045643003085427125,60.99521026611328,61.03416137695312,0.0556640625,-1.108365403080355,SELL
